,Arrondissement_x,Code INSEE commune_x,Type implantation,Nombre point de recharge,Paiement CB,Accessibilité PMR,Restriction gabarit,Stationnement 2 roues,Puissance max KW,Statut du point de recharge,Type de chargeur,latitude,longitude,Arrondissement_x_encode,Type implantation_encode,Paiement CB_encode,Accessibilité PMR_encode,Restriction gabarit_encode,Stationnement 2 roues_encode,Statut du point de recharge_encode,Type de chargeur_encode
686,19e Arrondissement,75119.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8917,2.3691,14,1,1,0,1,0,0,3
687,15e Arrondissement,75115.0,Voirie,7,True,Non accessible,aucune restriction,True,3.0,Occupé (en charge),Prise type EF,48.8287,2.2989,10,1,1,0,1,1,1,3
688,18e Arrondissement,75118.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8861,2.3591,13,1,1,0,1,0,0,3
689,15e Arrondissement,75115.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8432,2.3217,10,1,1,0,1,0,0,3
690,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8534,2.2685,11,1,1,0,1,0,0,3
691,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.863,2.2858,11,1,1,0,1,0,0,3
692,17e Arrondissement,75117.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8914,2.304,12,1,1,0,1,0,0,3
693,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8646,2.2754,11,1,1,0,1,0,0,3
694,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8478,2.2636,11,1,1,0,1,0,1,3
695,20e Arrondissement,75120.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8519,2.3982,15,1,1,0,1,0,0,3
698,Paris centre,75104.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.85967,2.3542652,16,1,1,0,1,0,0,3
699,05e Arrondissement,75105.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.839275,2.3507414,0,1,1,0,1,0,0,3
700,07e Arrondissement,75107.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.85461,2.329982,2,1,1,0,1,0,0,3
701,07e Arrondissement,75107.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.85461,2.329982,2,1,1,0,1,0,0,3
702,08e Arrondissement,75108.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8706,2.3226488,3,1,1,0,1,0,1,3
703,08e Arrondissement,75108.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.87006,2.312597,3,1,1,0,1,0,0,3
704,09e Arrondissement,75109.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.882973,2.345487,4,1,1,0,1,0,0,3
705,09e Arrondissement,75109.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.875465,2.342083,4,1,1,0,1,0,0,3
